ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
FCMY,small_airport,Legala Airport,"12.833000183105469, -2.2170000076293945",2152,AF,CG,CG-9,Legala,FCMY,,
FCMZ,small_airport,N'Zabi Airport,"12.866999626159668, -3.1670000553131104",1640,AF,CG,CG-9,N'Zabi,FCMZ,,
FCOB,small_airport,Boundji Airport,"15.383000373840332, -1.0329999923706055",1247,AF,CG,CG-8,Boundji,FCOB,BOE,
FCOD,small_airport,Denis Sassou Nguesso International Airport,"15.91, -1.226666",1073,AF,CG,CG-14,Oyo,FCOD,OLL,
FCOE,small_airport,Ewo Airport,"14.800000190734863, -0.8830000162124634",1503,AF,CG,CG-8,Ewo,FCOE,EWO,
FCOG,small_airport,Gamboma Airport,"15.885237, -1.829403",1509,AF,CG,CG-14,Gamboma,FCOG,GMM,
FCOI,small_airport,Impfondo Airport,"18.066999435424805, 1.6169999837875366",1099,AF,CG,CG-7,Impfondo,FCOI,ION,
FCOK,small_airport,Kelle Airport,"14.532999992370605, -0.08299999684095383",1526,AF,CG,CG-8,Kelle,FCOK,KEE,
FCOM,small_airport,Makoua Airport,"15.583000183105469, -0.017000000923871994",1293,AF,CG,CG-8,Makoua,FCOM,MKJ,
FCOO,medium_airport,Owando Airport,"15.95009994506836, -0.5313500165939331",1214,AF,CG,CG-8,Owando,FCOO,FTX,
FCOS,small_airport,Souanke Airport,"14.133000373840332, 2.066999912261963",1722,AF,CG,CG-13,Souanke,FCOS,SOE,
FCOT,small_airport,Betou Airport,"18.5, 3.049999952316284",1168,AF,CG,CG-7,Betou,FCOT,BTB,
FCOU,medium_airport,Ouesso Airport,"16.0379009247, 1.6159900426899998",1158,AF,CG,CG-13,,FCOU,OUE,
FCPA,small_airport,Makabana Airport,"12.616999626159668, -3.4830000400543213",495,AF,CG,CG-9,Makabana,FCPA,KMK,
FCPB,small_airport,Bangamba Airport,"13.199999809265137, -3.683000087738037",1312,AF,CG,CG-2,Bangamba,FCPB,,
FCPE,small_airport,Leganda Airport,"12.932999610900879, -3.433000087738037",1198,AF,CG,CG-2,Leganda,FCPE,,
FCPG,small_airport,Kibangou Airport,"12.300000190734863, -3.4830000400543213",427,AF,CG,CG-9,Kibangou,FCPG,,
FCPI,small_airport,Loubetsi Airport,"12.133000373840332, -3.700000047683716",328,AF,CG,CG-9,Loubetsi,FCPI,,
FCPK,small_airport,N'komo Airport,"11.383000373840332, -3.9170000553131104",98,AF,CG,CG-5,N'komo,FCPK,,
FCPL,medium_airport,Ngot Nzoungou Airport,"12.6599, -4.20635",1079,AF,CG,CG-9,Dolisie,FCPD,DIS,
FCPN,small_airport,Noumbi Airport,"11.383000373840332, -4.150000095367432",39,AF,CG,CG-5,Noumbi,FCPN,,
FCPO,small_airport,Pemo Airport,"12.532999992370605, -2.867000102996826",1686,AF,CG,CG-9,Pemo,FCPO,,
FCPP,medium_airport,Pointe Noire Airport,"11.88659954071045, -4.816030025482178",55,AF,CG,CG-5,Pointe Noire,FCPP,PNR,
FCPY,small_airport,Loukanyi Airport,"11.517000198364258, -4.0329999923706055",295,AF,CG,CG-5,Loukanyi,FCPY,,
FD00,heliport,Dade County Mosquito Control Heliport,"-80.3424784541, 25.827339963900002",7,NA,US,US-FL,Medley,FD00,,FD00
FD01,closed,Hidden Acres Airpark,"-84.048797, 30.2796",34,NA,US,US-FL,Monticello,,,
FD02,small_airport,85th Avenue Airstrip,"-82.02200317382812, 29.485000610351562",80,NA,US,US-FL,Orange Springs,FD02,,FD02
FD03,small_airport,The Funny Farm Airport,"-86.43550109863281, 30.800199508666992",200,NA,US,US-FL,Crestview,FD03,,FD03
FD04,small_airport,Leeward Air Ranch Airport,"-82.03230285644531, 29.0841007232666",86,NA,US,US-FL,Ocala/Belleview,FD04,,FD04
FD05,heliport,Mariners Hospital Heliport,"-80.5248031616211, 25.004600524902344",9,NA,US,US-FL,Tavernier,FD05,,FD05
FD06,heliport,Lake Bird Heliport,"-82.45559692382812, 28.18090057373047",70,NA,US,US-FL,Lutz,FD06,,FD06
FD07,heliport,Johnson Heliport,"-82.71869659423828, 27.98699951171875",57,NA,US,US-FL,Safety Harbor,FD07,,FD07
FD08,small_airport,Antiquers Aerodrome,"-80.1498031616211, 26.46540069580078",23,NA,US,US-FL,Delray Beach,FD08,,FD08
FD09,small_airport,Rlm Farms Airport,"-80.85890197753906, 27.809999465942383",75,NA,US,US-FL,Kenansville,FD09,,FD09
FD10,closed,Ringhaver Heliport,"-82.422302, 28.631701",100,NA,US,US-FL,Brooksville,,,
FD11,heliport,Fpc Heliport,"-81.67479705810547, 30.31130027770996",8,NA,US,US-FL,Jacksonville,FD11,,FD11
FD12,seaplane_base,Toho Seaplane Base,"-81.3915023803711, 28.25029945373535",80,NA,US,US-FL,Kissimmee,FD12,,FD12
FD13,heliport,Cleveland Clinic Florida Hospital Heliport,"-80.36579895019531, 26.088899612426758",8,NA,US,US-FL,Weston,FD13,,FD13
FD14,small_airport,Paniola Air Ranch Airport,"-82.05809783935547, 29.37529945373535",140,NA,US,US-FL,Citra,FD14,,FD14
FD15,small_airport,Tailwinds Airport,"-80.21869659423828, 26.97949981689453",19,NA,US,US-FL,Jupiter,FD15,,FD15
FD16,small_airport,Flying C Farm Airport,"-82.872802734375, 29.96579933166504",75,NA,US,US-FL,Branford,FD16,,FD16
FD17,heliport,Motorsports Complex Vip Heliport,"-80.41000366210938, 25.44860076904297",6,NA,US,US-FL,Homestead,FD17,,FD17
FD18,heliport,Tallahassee Memorial Hospital Heliport,"-84.26100158691406, 30.457399368286133",279,NA,US,US-FL,Tallahassee,FD18,,FD18
FD19,heliport,Lawnwood Medical Center Heliport,"-80.34559631347656, 27.43090057373047",18,NA,US,US-FL,Fort Pierce,FD19,,FD19
FD20,small_airport,Sundance Farms Airport,"-81.48509979248047, 26.80030059814453",50,NA,US,US-FL,La Belle,FD20,,FD20
FD21,heliport,Doctors Memorial Hospital Heliport,"-83.5788255, 30.12768",26,NA,US,US-FL,Perry,,,
FD22,small_airport,Melrose Landing Airport,"-81.9551010131836, 29.666900634765625",159,NA,US,US-FL,Melrose,FD22,,FD22
FD23,heliport,Fisher Island Heliport,"-80.13870239257812, 25.76420021057129",5,NA,US,US-FL,Miami,FD23,,FD23
FD24,small_airport,Southern Fruit Groves Airport,"-80.52059936523438, 27.221200942993164",26,NA,US,US-FL,Port St. Lucie,FD24,,FD24
FD25,small_airport,Fly In Ranches Airport,"-80.49980163574219, 27.5625",25,NA,US,US-FL,Vero Beach,FD25,,FD25
FD26,small_airport,Kirkland Airport,"-85.49240112304688, 30.981800079345703",180,NA,US,US-FL,Graceville,FD26,,FD26
FD27,small_airport,Cuyler Field,"-82.2261962890625, 30.362699508666992",120,NA,US,US-FL,Glen St Mary,FD27,,FD27
FD28,heliport,Orlando Regional Medical Center Heliport,"-81.37699890136719, 28.525299072265625",157,NA,US,US-FL,Orlando,FD28,,FD28
FD29,small_airport,Flying Dutchman Ranch Airport,"-82.11930084228516, 29.130800247192383",75,NA,US,US-FL,Ocala,FD29,,FD29
FD30,small_airport,Southeastern Airport,"-80.52619934082031, 27.411399841308594",23,NA,US,US-FL,Fort Pierce,FD30,,FD30
FD31,small_airport,Bradley Airport,"-82.70120239257812, 29.92799949645996",20,NA,US,US-FL,Fort White,FD31,,FD31
FD32,heliport,Lake Gibson High School Heliport,"-81.94290161132812, 28.13360023498535",165,NA,US,US-FL,Lakeland,FD32,,FD32
FD33,small_airport,Green Swamp Aerodrome,"-81.99870300292969, 28.211700439453125",115,NA,US,US-FL,Lakeland,FD33,,FD33
FD34,heliport,Motorsports Complex Ems Heliport,"-80.4113998413086, 25.45359992980957",6,NA,US,US-FL,Homestead,FD34,,FD34
FD35,small_airport,Redhead Airport,"-85.83940124511719, 30.49049949645996",102,NA,US,US-FL,Ebro,FD35,,FD35
FD36,heliport,Florida Hospital East Orlando Heliport,"-81.28079986572266, 28.540800094604492",113,NA,US,US-FL,Orlando,FD36,,FD36
FD37,small_airport,Gentry Airport,"-81.26339721679688, 28.13719940185547",80,NA,US,US-FL,St Cloud,FD37,,FD37
FD38,small_airport,Wellington Aero Club Airport,"-80.29419708251953, 26.646499633789062",19,NA,US,US-FL,West Palm Beach,FD38,,FD38
FD39,small_airport,Flying Cow Air Ranch Airport,"-80.691704, 27.1556",19,NA,US,US-FL,Okeechobee,FD39,,FD39
FD40,closed,Gardner Airport,"-81.792296, 27.3445",76,NA,US,US-FL,Gardner,,,
FD41,heliport,Grand Cypress Resort Heliport,"-81.51309967041016, 28.381399154663086",105,NA,US,US-FL,Kissimmee,FD41,,FD41
FD42,small_airport,Cooksey Brothers Airport,"-83.05460357666016, 30.211599349975586",90,NA,US,US-FL,Live Oak,FD42,,FD42
FD43,heliport,Oaks Helistop,"-82.48819732666016, 27.20639991760254",14,NA,US,US-FL,Venice,FD43,,FD43
FD44,small_airport,Eagles Nest Aerodrome,"-81.6041667, 29.4269444",63,NA,US,US-FL,Crescent City,FD44,,FD44
FD45,heliport,Fort Walton Beach Medical Ctr Heliport,"-86.6352005005, 30.4538002014",47,NA,US,US-FL,Fort Walton Beach,FD45,,FD45
FD46,seaplane_base,Goddard Seadrome Seaplane Base,"-81.51399993896484, 27.755300521850586",78,NA,US,US-FL,Frostproof,FD46,,FD46
FD47,heliport,Gulf Breeze Hospital Heliport,"-87.15889739990234, 30.359399795532227",14,NA,US,US-FL,Gulf Breeze,FD47,,FD47
FD48,small_airport,Deep Forest Airport,"-81.44979858398438, 30.241899490356445",24,NA,US,US-FL,Jacksonville,FD48,,FD48
FD49,small_airport,Montgomery's Flying M Ranch Airport,"-82.13040161132812, 28.77359962463379",70,NA,US,US-FL,Lake Panasoffkee,FD49,,FD49
FD50,small_airport,The Trails Airport,"-83.1886978149414, 30.109100341796875",45,NA,US,US-FL,Mayo,FD50,,FD50
FD51,small_airport,Summerland Key Cove Airport,"-81.44149780273438, 24.65880012512207",4,NA,US,US-FL,Summerland Key,FD51,,FD51
